score,true
0.00013477462925948203,0
9.854869858827442e-05,0
9.381036943523213e-05,0
0.4167039096355438,1
0.9496620297431946,1
0.0005539411213248968,0
0.0025150999426841736,0
0.00011392363376216963,0
0.00021199265029281378,0
0.00013654054782819003,0
0.00013542287342716008,0
0.00013043715443927795,0
9.939905430655926e-05,0
0.00013143071555532515,0
0.00026737319421954453,0
0.00013407296501100063,0
0.0003522766928654164,0
9.891003719531e-05,0
0.00010563839168753475,0
8.900077227735892e-05,0
0.0004496747278608382,0
0.0001106580239138566,0
0.00021122334874235094,0
0.0001527463464299217,0
0.00010418232704978436,0
0.001002392964437604,0
0.00027231915737502277,0
0.9206963181495667,1
9.83380523393862e-05,0
9.152758866548538e-05,0
0.7468240261077881,1
8.906122093321756e-05,0
0.00016601060633547604,0
0.00014446854765992612,0
8.352239819942042e-05,0
0.00042336463229730725,0
0.00016060950292740017,0
0.0002420476812403649,0
0.00012158443132648245,0
0.0003420152061153203,0
8.691447146702558e-05,0
0.00011495530634419993,0
0.00013450323604047298,0
0.00014942549751140177,0
0.004474593326449394,0
0.00026567699387669563,0
0.7955652475357056,1
0.00010839052993105724,0
8.461764809908345e-05,0
0.031962160021066666,0
0.00010954796016449109,0
0.00025959472986869514,0
0.00029581948183476925,0
0.0824705958366394,0
0.00011223302863072604,0
0.00015775814244989306,0
0.000115116112283431,0
0.00013495737221091986,0
0.00025980049395002425,0
0.0002571554505266249,0
8.579677523812279e-05,0
0.0007576582138426602,0
0.0002039062383119017,0
0.0005077340756542981,0
0.00019487927784211934,0
0.00018376740626990795,0
0.00010561270028119907,0
0.9773327112197876,1
0.0002443664998281747,0
0.0006424770108424127,0
0.00015955977141857147,0
0.941788911819458,1
7.444241782650352e-05,0
0.00013571747695095837,0
0.0001582002587383613,0
0.0003460994630586356,0
0.00017390989523846656,0
0.8453391194343567,1
0.00011452486796770245,0
0.00012555260036606342,0
0.00020502429106272757,0
0.0038589765317738056,0
0.91485196352005,1
0.00023119432444218546,0
0.00011151539365528151,0
0.00012844358570873737,0
0.00017283768102061003,0
0.6962670087814331,1
0.0004967821296304464,0
0.0001349463127553463,0
0.00014946325973141938,0
0.00506092282012105,0
0.0003268396540079266,0
0.00011491255281725898,0
0.0005321323988027871,0
0.00032675149850547314,0
0.00012018231791444123,0
0.00011282953346380964,0
9.05606138985604e-05,0
0.0002600671723484993,0
0.02580459974706173,0
0.00014506434672512114,0
0.00027224855148233473,0
8.855766645865515e-05,0
0.9231808185577393,1
0.00015245735994540155,0
0.00021213197032921016,0
0.00038155372021719813,0
0.00014746509259566665,0
9.464492904953659e-05,0
0.00041628192411735654,0
0.8577142953872681,1
0.00030169388628564775,0
0.00014570425264537334,0
0.00036123135942034423,0
0.002966259140521288,0
0.05994091182947159,1
0.0004501123621594161,0
0.002983909798786044,0
0.00018583500059321523,0
0.0005740626947954297,0
0.00012531301763374358,0
0.00012013463856419548,0
0.00012127921218052506,0
0.00014064335846342146,0
