score,true
2.3287953808903694e-05,0
5.246287400950678e-05,0
2.4270642825285904e-05,0
0.9999345541000366,1
3.752602788154036e-05,0
0.9998689889907837,1
2.500843402231112e-05,0
3.6030018236488104e-05,0
1.962246824405156e-05,0
6.804935401305556e-05,0
1.6891490304260515e-05,0
0.9998394250869751,1
1.6882760974112898e-05,0
1.6132809832924977e-05,0
0.9998977184295654,1
1.984642403840553e-05,0
0.999922513961792,1
1.731168777041603e-05,0
2.616445635794662e-05,0
0.9999197721481323,1
2.6820542188943364e-05,0
0.9999332427978516,1
2.8574564566952176e-05,0
1.823583443183452e-05,0
0.9999215602874756,1
8.341971260961145e-05,0
0.9998867511749268,1
0.9999109506607056,1
0.0003766933805309236,0
2.2571131921722554e-05,0
1.912508741952479e-05,0
1.7169862985610962e-05,0
2.470697472745087e-05,0
1.664414958213456e-05,0
0.9998911619186401,1
1.5317020370275714e-05,0
0.9999402761459351,1
1.5965553757268935e-05,0
0.9999450445175171,1
0.9999353885650635,1
1.3544045941671357e-05,0
5.171983502805233e-05,0
2.401810525043402e-05,0
2.7324593247612938e-05,0
2.2667121811537072e-05,0
1.8291661035618745e-05,0
0.9999322891235352,1
3.5225399187766016e-05,0
5.64661568205338e-05,0
1.6506959582329728e-05,0
1.8602522686705925e-05,0
2.583060268079862e-05,0
4.8298552428605035e-05,0
0.9998998641967773,1
5.3634244977729395e-05,0
1.8124874259228818e-05,0
1.838601201598067e-05,0
2.6069510568049736e-05,0
4.1347459045937285e-05,0
0.9999123811721802,1
1.7945243598660454e-05,0
0.9999386072158813,1
2.0023222532472573e-05,0
2.3787941245245747e-05,0
2.260818291688338e-05,0
1.7281123291468248e-05,0
2.105734711221885e-05,0
1.8586917576612905e-05,0
1.94500207726378e-05,0
3.533784547471441e-05,0
2.05645428650314e-05,0
1.7315385775873438e-05,0
1.9386632629903033e-05,0
1.8094186089001596e-05,0
1.604170938662719e-05,0
1.3191964171710424e-05,0
0.9986109733581543,1
4.592930417857133e-05,0
1.3308724192029331e-05,0
1.8054350221063942e-05,0
2.470132130838465e-05,0
5.334320303518325e-05,0
0.0001336360874120146,0
2.2665415599476546e-05,0
4.524016549112275e-05,0
2.8297261451371014e-05,0
2.28104145207908e-05,0
3.2372368877986446e-05,0
1.9185570636182092e-05,0
1.5868299669818953e-05,0
1.5877776604611427e-05,0
4.879157495452091e-05,0
1.6160309314727783e-05,0
2.039112769125495e-05,0
1.4889127669448499e-05,0
1.6316642359015532e-05,0
1.9223518393118866e-05,0
0.00012003353185718879,0
2.2136728148325346e-05,0
2.0884595869574696e-05,0
2.4820521502988413e-05,0
1.622628406039439e-05,0
2.136177135980688e-05,0
1.7063986888388172e-05,0
8.80704028531909e-05,0
0.9998413324356079,1
1.8649452613317408e-05,0
1.9857174265780486e-05,0
0.9999146461486816,1
3.764362190850079e-05,0
1.7355905583826825e-05,0
1.8759297745418735e-05,0
1.9734728994080797e-05,0
1.7416376067558303e-05,0
4.7927183913998306e-05,0
3.281448152847588e-05,0
0.0002226094075012952,0
7.966154225869104e-05,0
0.9998923540115356,1
2.0151303033344448e-05,0
4.216027446091175e-05,0
0.0004464238591026515,0
3.3008567697834224e-05,0
1.643713221710641e-05,0
0.999891996383667,1
0.9998879432678223,1
0.00013913023576606065,0
2.2053920474718325e-05,0
8.899771637516096e-05,0
1.5704308680142276e-05,0
2.7401518309488893e-05,0
3.112105332547799e-05,0
2.464487261022441e-05,0
2.143120946129784e-05,0
2.2229685782804154e-05,0
3.755169382202439e-05,0
1.9708739273482934e-05,0
1.810140020097606e-05,0
0.9998757839202881,1
2.3671420422033407e-05,0
1.5225182323774789e-05,0
1.8324430129723623e-05,0
1.5107219041965436e-05,0
2.3848042474128306e-05,0
2.2383228497346863e-05,0
3.283200931036845e-05,0
1.6525369574083015e-05,0
0.9999257326126099,1
1.654853804211598e-05,0
0.9999359846115112,1
2.0104311261093244e-05,0
1.4307932360679843e-05,0
0.9999134540557861,1
0.9999316930770874,1
1.5507710486417636e-05,0
4.9061487516155466e-05,0
1.7658918295637704e-05,0
0.999923586845398,1
0.9998472929000854,1
1.542637801321689e-05,0
1.4427191672439221e-05,0
1.5276567864930257e-05,0
1.7363738152198493e-05,0
0.9999051094055176,1
1.7094413124141283e-05,0
2.5583927708794363e-05,0
3.1536717870039865e-05,0
0.9999226331710815,1
1.9609075025073253e-05,0
1.977097417693585e-05,0
1.659345070947893e-05,0
1.8303906472283415e-05,0
1.3657355339091737e-05,0
0.999900221824646,1
2.0769992261193693e-05,0
2.7229516490479e-05,0
1.4219595868780743e-05,0
3.279449083493091e-05,0
1.8207752873422578e-05,0
2.1253323211567476e-05,0
2.2533366063726135e-05,0
1.409035667165881e-05,0
3.289704181952402e-05,0
2.0701985704363324e-05,0
1.516209522378631e-05,0
2.0243696781108156e-05,0
1.4246335013012867e-05,0
0.9999344348907471,1
1.487580084358342e-05,0
1.7341746570309624e-05,0
1.7956406736630015e-05,0
0.9998928308486938,1
0.0006116679287515581,0
1.3875084732717369e-05,0
1.9628831068985164e-05,0
2.1975360141368583e-05,0
1.6198144294321537e-05,0
0.999906063079834,1
3.4811440855264664e-05,0
1.740654624882154e-05,0
1.6451842384412885e-05,0
3.120643305010162e-05,0
0.9999213218688965,1
2.897995182138402e-05,0
0.9998397827148438,1
2.796412809402682e-05,0
2.9252620151964948e-05,0
6.422625301638618e-05,0
1.4802143596170936e-05,0
1.4650513548986055e-05,0
1.904910823213868e-05,0
2.167874299630057e-05,0
2.617488644318655e-05,0
1.8920221918961033e-05,0
0.9997605681419373,1
1.90631744771963e-05,0
3.1427076464751735e-05,0
1.5897365301498212e-05,0
0.9999043941497803,1
0.9998655319213867,1
2.491020131856203e-05,0
0.0001556565403006971,0
2.3524156858911738e-05,0
2.3978145691216923e-05,0
2.3464064724976197e-05,0
9.76972296484746e-05,0
0.9999369382858276,1
2.2300349883153103e-05,0
0.9999394416809082,1
1.6661364497849718e-05,0
1.6140427760547027e-05,0
1.8240983990835957e-05,0
4.847832315135747e-05,0
0.9999008178710938,1
1.9086568499915302e-05,0
1.740259540383704e-05,0
2.6962359697790816e-05,0
1.4633966202381998e-05,0
1.2775663890352007e-05,0
1.7007807400659658e-05,0
1.668674303800799e-05,0
2.5018189262482338e-05,0
0.9999265670776367,1
3.322645352454856e-05,0
2.9663606255780905e-05,0
4.1490922740194947e-05,0
1.939123831107281e-05,0
1.7399710486643016e-05,0
0.9999071359634399,1
2.543038863223046e-05,0
2.246997792099137e-05,0
0.9998729228973389,1
2.0653220417443663e-05,0
2.3384518499369733e-05,0
5.799076097900979e-05,0
1.661658643570263e-05,0
4.054714008816518e-05,0
2.9172329959692433e-05,0
4.0199556678999215e-05,0
2.3549968318548054e-05,0
1.5113299014046788e-05,0
1.7211339581990615e-05,0
1.97618683159817e-05,0
2.1099098375998437e-05,0
3.5957113141193986e-05,0
1.7499953173683025e-05,0
1.849957880040165e-05,0
2.5928113245754503e-05,0
3.42353705491405e-05,0
0.9995038509368896,1
2.2356989575200714e-05,0
3.353875581524335e-05,0
4.0201623050961643e-05,0
1.6837548173498362e-05,0
1.9877104932675138e-05,0
1.8785287466016598e-05,0
9.602619684301317e-05,0
2.0045041310368106e-05,0
5.867625441169366e-05,0
0.9999313354492188,1
2.014152232732158e-05,0
2.2281852579908445e-05,0
1.805679676181171e-05,0
0.9999061822891235,1
4.86043281853199e-05,0
4.1049970604944974e-05,0
0.9999343156814575,1
2.8638349249376915e-05,0
0.9998775720596313,1
1.624718788661994e-05,0
0.00017643111641518772,0
1.6043821233324707e-05,0
2.597129605419468e-05,0
0.00015458432608284056,0
1.6696836610208265e-05,0
2.0825844330829568e-05,0
1.769248046912253e-05,0
0.9996986389160156,1
0.9999396800994873,1
8.433456969214603e-05,0
4.046671892865561e-05,0
3.438509884290397e-05,0
1.4454350093728863e-05,0
1.9565739421523176e-05,0
2.264007162011694e-05,0
1.7940421457751654e-05,0
2.1214525986579247e-05,0
1.5246845578076318e-05,0
8.098053513094783e-05,0
0.00010778673458844423,0
2.445507016091142e-05,0
0.9999264478683472,1
1.915414395625703e-05,0
1.7996850147028454e-05,0
1.7091268091462553e-05,0
1.9342849554959685e-05,0
2.203546137025114e-05,0
1.4942785128368996e-05,0
1.972812788153533e-05,0
0.9998278617858887,1
0.9996998310089111,1
0.9997965693473816,1
1.7902666513691656e-05,0
1.5122786862775683e-05,0
0.9999051094055176,1
1.3409907296590973e-05,0
1.353486550215166e-05,0
1.8207007087767124e-05,0
1.880123818409629e-05,0
2.4224535081884824e-05,0
2.425384627713356e-05,0
2.2164358597365208e-05,0
0.004125049803406,0
2.0579806005116552e-05,0
0.9998952150344849,1
2.792804480122868e-05,0
6.13890151726082e-05,0
2.1361467588576488e-05,0
2.0014516849187203e-05,0
0.9999130964279175,1
1.6859465176821686e-05,0
2.9715078198933043e-05,0
3.304113488411531e-05,0
1.7488544472143985e-05,0
0.9998672008514404,1
2.2166472263052128e-05,0
2.197133653680794e-05,0
1.7911121176439337e-05,0
1.806974978535436e-05,0
8.041508408496156e-05,0
3.486353671178222e-05,0
2.6070752937812358e-05,0
1.296027494390728e-05,0
2.9182958314777352e-05,0
5.313270594342612e-05,0
0.9999411106109619,1
2.4590994144091383e-05,0
3.727049261215143e-05,0
1.5338709999923594e-05,0
1.854615766205825e-05,0
1.855153459473513e-05,0
1.7577262042323127e-05,0
2.1840311092091724e-05,0
0.9999396800994873,1
